onset	duration	trial_type	sample	segment_id	source_channel	category_id	reviewer_id	anatomy	soz	electrode_type
0.0	3.0	pathology	0	y030722	C'1	2	1	hippocampus posterior	1	depth
3.0	3.0	pathology	15000	y030723	C'1	2	1	hippocampus posterior	1	depth
6.0	3.0	pathology	30000	y030724	C'1	2	1	hippocampus posterior	1	depth
9.0	3.0	pathology	45000	y030725	C'1	2	1	hippocampus posterior	1	depth
12.0	3.0	pathology	60000	y030726	C'1	2	1	hippocampus posterior	1	depth
15.0	3.0	pathology	75000	y030727	C'1	2	1	hippocampus posterior	1	depth
18.0	3.0	pathology	90000	y030728	C'1	2	1	hippocampus posterior	1	depth
21.0	3.0	pathology	105000	y030729	C'1	2	1	hippocampus posterior	1	depth
24.0	3.0	pathology	120000	y030730	C'1	2	1	hippocampus posterior	1	depth
27.0	3.0	pathology	135000	y030731	C'1	2	1	hippocampus posterior	1	depth
30.0	3.0	pathology	150000	y030732	C'1	2	1	hippocampus posterior	1	depth
33.0	3.0	pathology	165000	y030733	C'1	2	3	hippocampus posterior	1	depth
36.0	3.0	pathology	180000	y030734	C'1	2	1	hippocampus posterior	1	depth
39.0	3.0	pathology	195000	y030735	C'1	2	1	hippocampus posterior	1	depth
42.0	3.0	pathology	210000	y030736	C'1	2	1	hippocampus posterior	1	depth
45.0	3.0	pathology	225000	y030737	C'1	2	1	hippocampus posterior	1	depth
48.0	3.0	pathology	240000	y030738	C'1	2	1	hippocampus posterior	1	depth
51.0	3.0	pathology	255000	y030739	C'1	2	1	hippocampus posterior	1	depth
54.0	3.0	pathology	270000	y030740	C'1	2	3	hippocampus posterior	1	depth
57.0	3.0	pathology	285000	y030741	C'1	2	3	hippocampus posterior	1	depth
60.0	3.0	pathology	300000	y030742	C'1	2	3	hippocampus posterior	1	depth
63.0	3.0	pathology	315000	y030743	C'1	2	1	hippocampus posterior	1	depth
66.0	3.0	pathology	330000	y030744	C'1	2	3	hippocampus posterior	1	depth
69.0	3.0	pathology	345000	y030745	C'1	2	1	hippocampus posterior	1	depth
